t_index term      df
288     bathtub  1
289     batter  1
290     battl  10
291     bbc  16
292     beach  1
293     beat  9
294     beaten  2
295     beauti  1
296     becam  13
297     becom  8
298     bed  5
299     bedi  1
300     beef  1
301     befriend  1
302     began  14
303     begin  20
304     begun  4
305     behalf  1
306     behari  1
307     behind  13
308     belgrad  26
309     belida  1
310     believ  19
311     belov  1
312     bemoan  1
313     bend  1
314     beneath  2
315     benefit  1
316     berger  1
317     berlin  1
318     bershard  1
319     beschloss  1
320     best  4
321     betajon  1
322     better  3
323     bevan  1
324     beyond  3
325     bhakta  1
326     bhuj  1
327     bibl  1
328     bid  6
329     big  7
330     bigger  3
331     biggest  6
332     bill  19
333     billion  3
334     billionair  1
335     billow  4
336     bin  6
337     biograph  3
338     birth  1
339     birthday  1
340     bishop  1
341     bitterli  1
342     bizarr  1
343     black  6
344     blakemor  1
345     blame  7
346     blanket  3
347     blare  1
348     blast  20
349     blatant  1
350     blaze  1
351     bless  1
352     blew  3
353     blind  1
354     block  8
355     blockad  1
356     blood  2
357     bloodchil  2
358     bloodsh  2
359     bloodstain  1
360     blow  1
361     blue  2
362     blueprint  3
363     board  7
364     boast  1
365     boat  15
366     bob  1
367     bobbi  1
368     bodi  57
369     bodin  1
370     bodyguard  1
371     bodyhunt  1
372     boe  1
373     bold  1
374     bolster  1
375     bomb  108
376     bombdamag  1
377     bomber  5
378     bombmak  4
379     bond  3
380     bone  5
381     boo  1
382     boobytrap  1
383     book  1
384     border  4
385     borivoj  1
386     bosnia  1
387     boss  2
388     boston  2
389     bottom  3
390     boucher  1
391     bought  1
392     bounc  1
393     boundari  1
394     bout  1
395     bow  6
396     boxer  1
397     boy  4
398     boycot  3
399     boycott  1
400     brace  1
401     braci  1
402     bradman  1
403     branch  2
404     brand  1
405     brazen  1
406     brazilian  1
407     bread  1
408     break  14
409     breakfast  1
410     breakout  2
411     breakthrough  4
412     breez  1
413     brian  1
414     bridg  1
415     brie  4
416     brief  3
417     brilliant  1
418     bring  14
419     brink  1
420     briskli  2
421     bristl  1
422     britain  3
423     british  8
424     broadcast  3
425     broader  3
426     brokaw  1
427     broke  9
428     brother  4
429     brought  12
430     brown  1
431     brunei  2
432     bubbl  1
433     bucket  1
434     buckl  1
435     budget  1
436     buffer  1
437     build  35
438     built  3
439     bulldoz  5
440     bulli  1
441     bureau  2
442     burglari  1
443     buri  17
444     burial  3
445     burn  5
446     burnedout  1
447     burton  2
448     buse  1
449     bush  32
450     bushgor  1
451     busi  7
452     busiest  1
453     businessman  37
454     bust  2
455     bustl  1
456     butcher  1
457     buy  4
458     byfoot  1
459     cabinet  2
460     cabl  2
461     cacak  1
462     cairo  1
463     calamit  1
464     calif  1
465     california  3
466     call  44
467     calm  5
468     came  20
469     camel  1
470     camera  1
471     cameroon  1
472     campaign  29
473     canal  2
474     cancel  4
475     cancer  4
476     candid  29
477     candidaci  1
478     candiotti  2
479     candlelight  1
480     cant  2
481     canva  1
482     cap  1
483     capit  29
484     capitol  4
485     capriati  12
486     captain  4
487     captur  11
488     car  6
489     caravan  1
490     card  2
491     care  2
492     career  7
493     cargo  1
494     carl  2
495     carmen  1
496     carnahan  29
497     carpent  2
498     carri  28
499     carter  2
500     carv  1
501     case  10
502     cash  1
503     casket  3
504     cast  5
505     castil  1
506     castro  1
507     casual  1
508     casualti  2
509     catastroph  1
510     catch  1
511     catherin  1
512     caught  1
513     caus  17
514     caution  4
515     cautiou  1
516     cawl  3
517     cd  1
518     ceasefir  2
519     celebr  8
520     cell  2
521     cellphon  1
522     cellular  1
523     center  11
524     central  16
525     centuri  6
526     ceremoni  8
527     certain  1
528     certif  1
529     cessna  2
530     chad  1
531     chadwick  2
532     chain  3
533     chair  2
534     chairman  5
535     challeng  6
536     champ  2
537     champion  14
538     championship  1
539     chanc  7
540     chandler  1
541     chang  7
542     changeov  1
543     chao  4
544     chaotic  2
545     charact  1
546     characterist  1
547     charg  23
548     charit  2
549     charl  4
550     chase  2
551     chavez  2
552     cheat  2
553     chechnya  1
554     check  3
555     cheer  8
556     chela  1
557     cheney  3
558     cheri  1
559     cheron  1
560     chew  1
561     chi  6
562     chief  11
563     child  2
564     children  4
565     chill  2
566     china  2
567     chirac  1
568     choic  6
569     choke  1
570     choos  2
571     chosen  1
572     chri  2
573     christen  1
574     christian  2
575     christma  6
576     christoph  2
577     chubbi  1
578     church  1
579     cia  2
580     cigarett  1
581     circl  1
582     circumst  1
583     cisnero  1
584     cite  2
585     citi  33
586     citizen  4
587     citizenri  1
588     citizenship  1
589     civil  7
590     civilian  9
591     claim  10
592     clair  1
593     clamor  1
594     clark  1
595     clash  7
596     class  4
597     classic  3
598     classifi  4
599     claw  2
600     clean  1
601     clear  17
602     clearli  1
603     clemenc  10
604     clement  9
605     cleric  1
606     clerk  1
607     client  1
608     clijster  1
609     climb  5
610     cling  2
611     clinic  1
612     clinton  120
613     clodfelt  1
614     close  30
615     closeddoor  1
616     closemouth  1
617     closest  1
618     closur  1
619     cloud  1
620     clton  1
621     club  1
622     clue  8
623     cnn  14
624     co  2
625     coachlight  1
626     coal  10
627     coalit  3
628     coast  44
629     coastal  1
630     coastlin  6
631     coat  1
632     coetzer  1
633     coffe  1
634     coffin  2
635     cohen  18
636     coil  1
637     coki  1
638     col  1
639     cold  8
640     coldblood  1
641     cole  179
642     coler  2
643     colin  1
644     colina  6
645     collaps  10
646     colleagu  1
647     collect  1
648     colleg  1
649     coller  3
650     collid  1
651     collis  1
652     colo  1
653     colombia  1
654     coloni  3
655     color  2
656     colorado  10
657     columbia  1
658     column  2
659     comb  1
660     combat  1
661     combin  3
662     come  21
663     comeback  6
664     comfort  1
665     command  16
666     comment  2
667     commerci  4
668     commiss  16
669     commit  2
670     committe  5
671     commod  2
672     commun  5
673     communist  11
674     communistrul  1
675     commut  7
676     comparison  4
677     compart  4
678     compassion  2
679     compet  1
680     competit  1
681     complac  1
682     complain  1
683     complaint  1
684     complet  7
685     complex  1
686     complic  1
687     composit  2
688     con  1
689     conced  12
690     concentr  1
691     concern  10
692     concert  1
693     conclud  7
694     conclus  1
695     concret  4
696     condemn  3
697     condit  3
698     condol  1
699     conduct  1
700     confer  2
701     confess  2
702     confetti  1
703     confid  1
704     confirm  13
705     conflict  7
706     confront  2
707     confus  1
708     congratul  4
709     congress  23
710     congression  1
711     connal  3
712     connect  6
713     connelli  1
714     consciou  1
715     consecut  4
716     consequ  2
717     conserv  1
718     conservat  1
719     consid  8
720     consider  1
721     consist  1
722     consolid  2
723     constitut  7
724     construct  2
725     consul  1
726     consum  1
727     contact  1
728     content  1
729     contenti  1
730     contest  7
731     continu  39
732     contract  4
733     contribut  3
734     control  16
735     controversi  6
736     converg  2
737     convers  1
738     convict  51
739     convoy  1
740     cool  1
741     cooper  5
742     coordin  2
743     cop  1
744     cope  3
745     coproduct  6
746     corey  1
747     corina  4
748     cornard  1
749     corner  9
750     corp  3
751     corps  3
752     correspond  5
753     corrupt  14
754     cost  4
755     costa  1
756     costli  1
757     couch  1
758     could  34
759     couldnt  1
760     count  2
761     counter  1
762     counterattack  2
763     counternarcot  1
764     counti  3
765     countri  58
766     countrymen  1
767     countrysid  1
768     coup  7
769     coupl  3
770     cours  4
771     court  40
772     courtroom  2
773     cousin  1
774     cover  3
775     coverag  1
776     cowardli  1
777     crack  2
778     crackdown  2
779     cradl  1
780     craft  1
781     cragey  2
782     craggi  1
783     cram  1
784     cramp  2
785     crash  17
786     crater  1
787     cream  1
788     creat  2
789     credibl  4
790     credit  1
791     creed  1
792     crest  1
793     crew  23
794     crewmemb  2
795     crewmen  4
796     cri  3
797     crime  3
798     crimin  5
799     crippl  16
800     crise  2
801     crisi  6
802     critic  14
803     crosbi  1
804     cross  1
805     crouch  1
806     crowd  9
807     crown  1
808     crucial  3
809     cruis  2
810     crumbl  3
811     crush  4
812     cryptic  1
813     cuba  1
814     cuban  1
815     cuellar  2
816     culprit  1
817     cup  3
818     curb  1
819     curfew  2
820     current  3
821     curtail  2
822     custodi  1
823     custom  1
824     cut  8
825     cutter  2
826     cw  1
827     cycl  1
828     daili  1
829     dakota  1
830     dalla  3
831     dallasbas  1
832     damag  26
833     dammaj  1
834     dan  3
835     danc  1
836     danger  16
837     dare  1
838     dark  1
839     dart  1
840     dash  1
841     date  1
842     datelin  1
843     daughter  1
844     daunt  3
845     dave  10
846     davenport  14
847     davi  1
848     david  13
849     day  80
850     dd  1
851     de  2
852     dead  30
853     deadli  12
854     deadlock  1
855     deadon  1
856     deal  3
857     dean  2
858     death  42
859     debat  13
860     debri  5
861     debt  1
862     dec  3
863     decad  8
864     deceas  1
865     decemb  7
866     decid  8
867     decis  11
868     deck  4
869     declar  13
870     declin  1
871     decrat  1
872     deep  2
873     deepli  2
874     deepsea  1
875     deepwat  1
876     default  1
877     defeat  27
878     defenc  1
879     defend  17
880     defens  35
881     defianc  1
882     defiant  3
883     deficit  1
884     defolt  1
885     deforest  6
886     degre  1
887     delawar  4
888     delay  5
889     delhi  3
890     deliber  1
891     demand  14
892     demis  1
893     democraci  7
894     democrat  38
895     demonstr  15
896     deni  9
897     denis  2
898     denounc  1
899     denver  2
900     depart  18
901     depend  1
902     depth  8
903     deputi  2
904     dequia  1
905     deriv  1
906     descend  4
907     describ  8
908     descript  1
909     desert  1
910     design  5
911     despair  1
912     desper  8
913     despit  18
914     despot  1
915     destroy  61
916     destruct  2
917     desvid  1
918     detail  6
919     detain  2
920     detector  1
921     detent  1
922     deter  1
923     deterior  1
924     determin  11
925     deutch  1
926     devast  28
927     develop  7
928     devic  1
929     devot  1
930     diarrhea  1
931     dick  4
932     dictat  3
933     didnt  7
934     die  20
935     differ  10
936     difficult  4
937     difficulti  1
938     dig  7
939     dinkic  1
940     diplomat  3
941     direct  1
942     directli  1
943     director  6
944     dirt  5
945     disappear  3
946     disast  16
947     discharg  1
948     disclos  1
949     disclosur  2
950     discord  1
951     discov  1
952     discoveri  3
953     discuss  2
954     diseas  1
955     disgrac  6
956     disgruntl  1
957     disintegr  1
958     dismantl  1
959     dismiss  6
960     disobedi  3
961     dispatch  1
962     displac  1
963     display  3
964     dispos  1
965     disput  3
966     dissect  1
967     distant  2
968     distraught  1
969     distribut  2
970     district  1
971     disturb  1
972     dive  1
973     diver  41
974     divid  1
975     djindjic  1
976     dmitri  2
977     dna  1
978     dni  1
979     dock  4
980     doctor  4
981     document  4
982     dog  7
983     doggedli  1
984     dokic  4
985     dollar  2
986     domest  1
987     domin  4
988     dominik  2
989     donald  2
990     donaldson  1
991     donat  2
992     done  1
993     donor  2
994     dont  2
995     doom  3
996     door  1
997     doreen  1
998     doubl  7
999     doubt  3
1000     dougal  3
1001     dour  2
1002     dover  4
1003     down  1
1004     downfal  1
1005     downpour  1
1006     downtown  2
1007     dozen  20
1008     dr  1
1009     draft  3
1010     drag  4
1011     drama  4
1012     dramat  7
1013     drape  1
1014     draskov  1
1015     draw  3
1016     drawn  2
1017     dream  2
1018     dress  3
1019     drew  4
1020     drill  1
1021     drive  11
1022     driven  3
1023     drizzli  1
1024     drop  3
1025     drove  4
1026     drug  2
1027     drumbeat  2
1028     dual  1
1029     dub  1
1030     dudley  2
1031     due  4
1032     duel  1
1033     dug  3
1034     dump  2
1035     duo  1
1036     dust  3
1037     dusti  3
1038     duti  1
1039     dwight  1
1040     dwindl  3
1041     eager  1
1042     earli  31
1043     earlier  9
1044     earn  1
1045     earth  4
1046     earthquak  97
1047     earthquakedriven  1
1048     earthquakestricken  1
1049     earthquaketrigg  2
1050     eas  4
1051     easier  1
1052     easiest  1
1053     east  22
1054     eastern  4
1055     echo  3
1056     econom  12
1057     economi  3
1058     ecuador  1
1059     edg  2
1060     edit  1
1061     editor  1
1062     editori  9
1063     edmond  27
1064     edmund  15
1065     edt  2
1066     educ  2
1067     edwardo  1
1068     edwin  1
1069     effect  5
1070     effort  27
1071     egypt  2
1072     egyptian  3
1073     ehud  1
1074     eight  10
1075     eighteenmonthold  1
1076     eighthseed  1
1077     eightmonth  1
1078     eisenhow  1
1079     either  1
1080     el  31
1081     elbow  1
1082     elect  84
1083     electionday  1
1084     elector  7
1085     electr  4
1086     electricpow  1
1087     electron  1
1088     element  2
1089     eleven  4
1090     elia  1
1091     elimin  1
1092     elit  2
1093     elliot  1
1094     els  2
1095     elsewher  4
1096     elton  1
1097     elus  1
1098     embargo  1
1099     embark  1
1100     embarrass  1
1101     embassi  8
1102     embattl  3
1103     embellish  1
1104     embrac  1
1105     emerg  11
1106     emot  3
1107     emperor  2
1108     employe  5
1109     empti  1
1110     emul  1
1111     en  1
1112     encourag  6
1113     end  39
1114     endang  1
1115     endem  1
1116     endur  1
1117     enemi  9
1118     energ  1
1119     energi  2
1120     enforc  7
1121     engin  5
1122     engineerman  1
1123     english  2
1124     enigmat  1
1125     enorm  4
1126     enough  5
1127     enqvist  1
1128     enter  10
1129     entir  6
1130     entomb  3
1131     entrench  2
1132     envoy  1
1133     epicent  3
1134     epidem  1
1135     epiphani  1
1136     equip  6
1137     er  1
1138     era  5
1139     eras  3
1140     eri  1
1141     eric  1
1142     errat  1
1143     erupt  4
1144     escal  1
1145     escap  42
1146     escape  7
1147     escort  1
1148     escud  1
1149     especi  1
1150     espi  1
1151     espionag  19
1152     estim  12
1153     ethnic  5
1154     eu  1
1155     eugen  1
1156     euphoria  2
1157     european  5
1158     evacu  2
1159     evad  2
1160     evapor  1
1161     eve  9
1162     even  43
1163     event  9
1164     eventu  3
1165     ever  3
1166     everi  4
1167     evershrink  2
1168     evert  1
1169     everyday  1
1170     everyon  6
1171     everyth  2
1172     evid  13
1173     exact  1
1174     exactli  1
1175     exam  1
1176     examin  4
1177     exampl  2
1178     exceed  1
1179     excerpt  1
1180     exclam  2
1181     exclud  2
1182     exclus  2
1183     execut  5
1184     exercis  3
1185     exhaust  8
1186     exil  4
1187     exit  2
1188     exoner  1
1189     expand  1
1190     expatri  1
1191     expect  24
1192     experi  1
1193     experienc  1
1194     expert  9
1195     explan  1
1196     explod  3
1197     exploit  1
1198     explor  2
1199     explos  50
1200     expos  2
1201     expresid  2
1202     express  6
1203     exspi  5
1204     extend  4
1205     extens  1
1206     extent  1
1207     extern  1
1208     extra  2
1209     extradit  2
1210     extraordinari  1
1211     extravag  1
1212     extrem  1
1213     extremist  1
1214     exwif  1
1215     eye  3
1216     fabric  1
1217     facad  2
1218     face  12
1219     facil  2
1220     fact  3
1221     faction  3
1222     factor  1
1223     factori  2
1224     fade  5
1225     fail  12
1226     failur  2
1227     faint  4
1228     faintli  1
1229     fair  1
1230     fake  1
1231     fall  7
1232     fallen  1
1233     famili  17
1234     fan  1
1235     far  17
1236     farera  1
1237     farewel  6
1238     farina  1
1239     fascin  1
1240     fashion  1
1241     fast  3
1242     fatal  2
1243     fate  2
1244     father  4
1245     fatigu  1
1246     fault  3
1247     favor  3
1248     favorit  1
1249     fax  1
1250     fbi  27
1251     fd  1
1252     fear  8
1253     fearless  1
1254     feat  2
1255     featur  1
1256     fed  2
1257     feder  13
1258     federico  5
1259     feel  5
1260     feet  1
1261     fell  6
1262     fellow  2
1263     felon  1
1264     felt  3
1265     fernand  1
1266     fernandez  1
1267     feroci  1
1268     fidel  1
1269     field  3
1270     fierc  1
1271     fifteen  1
1272     fifth  3
1273     fight  12
1274     figur  5
1275     file  3
1276     filipov  1
1277     fill  3
1278     fillmor  1
1279     film  2
1280     final  54
1281     financi  11
1282     find  27
1283     fine  1
1284     finish  2
1285     fire  6
1286     firefight  1
1287     fireman  1
1288     firm  1
1289     firmer  1
1290     firmli  1
1291     first  69
1292     firstround  4
1293     fish  2
1294     fishermen  1
1295     fist  2
1296     fit  2
1297     fittingli  1
1298     five  17
1299     fix  2
1300     flag  2
1301     flagdrap  3
1302     flagwav  1
1303     flair  1
1304     flame  3
1305     flank  2
1306     flashbulb  1
1307     flatten  1
1308     fled  5
1309     flee  4
1310     fleet  4
1311     flew  3
1312     fli  2
1313     flier  1
1314     flight  3
1315     fling  1
1316     flintoff  1
1317     flip  1
1318     flood  4
1319     floor  2
1320     flore  2
1321     florida  2
1322     flower  1
1323     flown  4
1324     fluid  1
1325     flurri  1
1326     focu  3
1327     focus  2
1328     focuss  1
1329     foe  1
1330     fog  1
1331     foggi  2
1332     foil  2
1333     follow  33
1334     food  3
1335     foot  3
1336     foothil  1
1337     forc  56
1338     forecast  2
1339     foreign  16
1340     foremost  1
1341     forens  1
1342     forese  1
1343     forgotten  1
1344     form  3
1345     formal  1
1346     format  1
1347     former  56
1348     formerli  1
1349     forward  4
1350     fought  4
1351     found  24
1352     four  36
1353     fourday  1
1354     fourstori  1
1355     fourth  4
1356     fourwheeldr  1
1357     fox  1
1358     fragil  1
1359     fragment  1
1360     frame  1
1361     franc  2
1362     franci  1
1363     francisco  2
1364     frank  3
1365     frantic  3
1366     fraud  3
1367     fred  1
1368     free  7
1369     freed  1
1370     freedom  6
1371     freeh  2
1372     freemarket  1
1373     french  3
1374     frenchman  5
1375     frequent  1
1376     fresh  2
1377     freshman  1
1378     friday  74
1379     friend  4
1380     frigat  1
1381     front  2
1382     fruit  1
1383     frustrat  1
1384     ft  1
1385     fuel  2
1386     fugit  26
1387     fujimori  39
1388     full  5
1389     fulli  3
1390     function  1
1391     funer  2
1392     furi  3
1393     furious  2
1394     fuss  1
1395     futil  2
1396     futur  3
1397     ga  4
1398     gabon  1
1399     gain  2
1400     gallust  1
1401     game  5
1402     gang  5
1403     gangsterstyl  1
1404     gap  2
1405     gape  2
1406     garcia  2
1407     garden  2
1408     gari  1
1409     gateway  1
1410     gather  5
1411     gave  2
1412     gavlak  1
1413     gay  1
1414     gazett  1
1415     gbagbo  9
1416     gen  6
1417     gener  30
1418     geo  1
1419     geofferi  1
1420     geolog  1
1421     georg  32
1422     german  2
1423     germani  11
1424     gestur  1
1425     get  21
1426     getaway  1
1427     giant  1
1428     gift  3
1429     giggl  1
1430     ginger  1
1431     girl  1
1432     give  6
1433     given  11
1434     gizbert  1
1435     glascoff  1
1436     glass  1
1437     glimps  1
1438     glisten  1
1439     glow  2
1440     go  22
1441     goal  2
1442     god  1
1443     goddess  1
1444     godfear  1
1445     goe  4
1446     goin  4
1447     gone  3
1448     good  29
1449     goodby  1
1450     goodwil  1
1451     gop  2
1452     gore  17
1453     got  8
1454     gov  21
1455     govern  54
1456     governor  20
1457     grand  11
1458     grant  6
1459     graphic  1
1460     grave  5
1461     great  8
1462     greater  2
1463     greenwood  1
1464     greet  2
1465     greg  1
1466     gregor  3
1467     gregorio  1
1468     grenad  2
1469     grief  1
1470     griev  1
1471     grim  4
1472     grind  1
1473     grip  1
1474     gritti  1
1475     grosanc  1
1476     grosjean  2
1477     ground  9
1478     group  12
1479     grow  9
1480     gruel  3
1481     guard  11
1482     guatemala  4
1483     guei  8
1484     guerrilla  2
1485     guid  2
1486     guidedmissil  1
1487     guidelin  1
1488     guilti  5
1489     gujarat  11
1490     gulf  18
1491     gun  5
1492     gunn  1
1493     guntot  1
1494     gustavo  3
1495     hagu  1
1496     halevi  1
1497     half  14
1498     hall  2
1499     halliburton  1
1500     halt  2
1501     hammer  1
1502     hamper  3
1503     hand  10
1504     handsom  1
1505     handwring  2
1506     hang  2
1507     hangar  1
1508     hanoi  6
1509     hanov  1
1510     happen  6
1511     harass  1
1512     harbor  8
1513     hard  6
1514     harder  2
1515     hardest  1
1516     hardestfought  1
1517     hardesthit  1
1518     hardli  3
1519     hardship  1
1520     hardwar  1
1521     haren  1
1522     harri  1
1523     harsh  2
1524     hatch  2
1525     haunt  4
1526     haven  3
1527     havent  2
1528     haviar  1
1529     he  3
1530     head  19
1531     headlin  14
1532     heal  1
1533     health  3
1534     hear  6
1535     heard  8
1536     hears  1
1537     hearst  2
1538     heart  3
1539     heartbeat  1
1540     heartbreak  1
1541     hearten  1
1542     heartfelt  2
1543     heat  4
1544     heavi  4
1545     heavili  3
1546     heavylift  1
1547     hed  2
1548     heed  2
1549     heel  1
1550     height  2
1551     heighten  1
1552     heiress  1
1553     held  9
1554     helicopt  3
1555     hell  1
1556     hello  4
1557     help  24
1558     hem  1
1559     henhous  1
1560     henri  3
1561     herald  2
1562     herculean  1
1563     here  11
1564     hernandez  1
1565     hero  1
1566     hi  2
1567     hid  1
1568     hide  1
1569     high  10
1570     higher  4
1571     highest  9
1572     highli  2
1573     highpow  2
1574     highprofil  1
1575     highspe  2
1576     highway  2
1577     hill  4
1578     hillari  10
1579     hillsid  1
1580     hingi  11
1581     histor  14
1582     histori  8
1583     historymak  3
1584     hit  5
1585     ho  6
1586     hoan  1
1587     hobbl  1
1588     hold  11
1589     hole  13
1590     holiday  5
1591     home  62
1592     homecom  2
1593     homeland  2
1594     homeless  3
1595     honesti  2
1596     honey  1
1597     honor  4
1598     hope  29
1599     horn  1
1600     horrif  2
1601     horrifi  2
1602     horseback  1
1603     hospit  11
1604     hoss  1
1605     host  2
1606     hostil  1
1607     hotel  9
1608     hotli  2
1609     hour  42
1610     houri  1
1611     hous  53
1612     housekeep  1
1613     houston  1
1614     hover  1
1615     howard  1
1616     howev  3
1617     hrbati  2
1618     huber  1
1619     huge  6
1620     huh!  1
1621     hull  8
1622     human  3
1623     humanitarian  3
1624     humid  1
1625     humili  2
1626     hundr  20
1627     hung  2
1628     hungri  1
1629     hunt  4
1630     hurt  3
1631     husband  3
1632     hyderabad  1
1633     hymlek  1
1634     hyperinfl  1
1635     hysteria  1
1636     idea  1
1637     ident  4
1638     identif  4
1639     identifi  8
1640     idyl  3
1641     ignacio  1
1642     iii  1
1643     ili  1
1644     ill  1
1645     illeg  2
1646     illfat  1
1647     illinoi  1
1648     illustri  2
1649     im  27
1650     imag  3
1651     imagin  1
1652     immedi  6
1653     immigr  1
1654     immin  1
1655     imparti  1
1656     impass  2
1657     impeach  1
1658     impeech  1
1659     imperson  1
1660     implement  2
1661     implicit  1
1662     import  6
1663     impos  2
1664     imposs  1
1665     impress  1
1666     improv  9
1667     improvis  1
1668     inadequ  2
1669     inaugur  1
1670     incid  3
1671     includ  21
1672     inclus  1
1673     incom  1
1674     incompat  1
1675     incomplet  2
1676     increas  8
1677     increasingli  3
1678     incred  1
1679     incumb  4
1680     independ  10
1681     india  53
1682     indian  14
1683     indic  2
1684     indict  2
1685     indit  1
1686     individu  1
1687     inevit  2
1688     infanc  1
1689     infant  1
1690     infect  1
1691     infiltr  1
1692     influenc  2
1693     inform  13
1694     initi  6
1695     inject  1
1696     injur  36
1697     injuri  3
1698     inland  1
1699     inmat  19
1700     inn  1
1701     inner  2
1702     innoc  2
1703     inquiri  5
1704     inquisitor  1
1705     insid  11
1706     insist  2
1707     inspir  2
1708     instabl  1
1709     instead  2
1710     instruct  1
1711     instrument  1
1712     insurg  3
1713     intellig  15
1714     intend  4
1715     intens  3
1716     intensifi  5
1717     intent  4
1718     interact  1
1719     interest  3
1720     interim  5
1721     interior  1
1722     intern  28
1723     interpret  1
1724     interrupt  2
1725     interview  6
1726     introduc  2
1727     intrus  1
1728     intyr  1
1729     invalid  4
1730     investig  76
1731     invigor  1
1732     invit  1
1733     involv  5
1734     iran  1
1735     iraqi  1
1736     iron  4
1737     ironfist  4
1738     irv  1
1739     isff  1
1740     islam  10
1741     isnt  1
1742     isol  4
1743     isra  7
1744     israel  5
1745     israelipalestinian  1
1746     issu  15
1747     item  1
1748     ivoirian  2
1749     ivori  38
1750     ivorian  2
1751     jaar  2
1752     jacqu  2
1753     jag  1
